Arbrook,FrameTime,SetupTime,BGFX,FrameTime,Native,FrameTime,SetupTime,
 ,0.0109, , ,0.2437, ,0.0047, ,
 ,0.0084, , ,0.2511, ,0.0048, ,
 ,0.0066, , ,0.201, ,0.0047, ,
 ,0.0066, , ,0.1998, ,0.0047, ,
 ,0.0065, , ,0.1989, ,0.0047, ,
 ,0.0065, , ,0.2048, ,0.0047, ,
 ,0.0066, , ,0.2017, ,0.0049, ,
 ,0.0067, , ,0.198, ,0.0047, ,
 ,0.0065, , ,0.2016, ,0.0047, ,
 ,0.0065, , ,0.1987, ,0.0047, ,
 ,0.0066, , ,0.1982, ,0.0048, ,
 ,0.0066, , ,0.1983, ,0.0046, ,
 ,0.0065, , ,0.1984, ,0.0048, ,
 ,0.0066, , ,0.1978, ,0.0046, ,
 ,0.0065, , ,0.1983, ,0.0048, ,
 ,0.0065, , ,0.1984, ,0.0047, ,
 ,0.0066, , ,0.2002, ,0.0047, ,
 ,0.0065, , ,0.1986, ,0.0047, ,
 ,0.0066, , ,0.1987, ,0.0047, ,
 ,0.0066, , ,0.1982, ,0.0048, ,
 ,0.0065, , ,0.2567, ,0.005, ,
 ,0.0065, , ,0.206, ,0.0047, ,
 ,0.0065, , ,0.198, ,0.0047, ,
 ,0.0065, , ,0.1989, ,0.0048, ,
 ,0.0065, , ,0.1983, ,0.0048, ,
 ,0.0067, , ,0.1989, ,0.0049, ,
 ,0.0066, , ,0.2011, ,0.0047, ,
 ,0.0065, , ,0.2442, ,0.0047, ,
 ,0.0087, , ,0.2004, ,0.0047, ,
 ,0.0066, , ,0.3867, ,0.0047, ,
 ,0.0066, , ,0.2374, ,0.0048, ,
 ,0.0065, , ,0.2011, ,0.0048, ,
 ,0.0066, , ,0.2014, ,0.0047, ,
 ,0.0066, , ,0.1985, ,0.0046, ,
 ,0.0066, , ,0.2033, ,0.0047, ,
 ,0.0065, , ,0.1982, ,0.0048, ,
 ,0.0064, , ,0.2034, ,0.0048, ,
 ,0.0065, , ,0.1976, ,0.0048, ,
 ,0.0065, , ,0.1976, ,0.0047, ,
 ,0.0066, , ,0.2052, ,0.0047, ,
 ,0.0066, , ,0.2007, ,0.0061, ,
 ,0.0066, , ,0.1976, ,0.006, ,
 ,0.0066, , ,0.1976, ,0.0048, ,
 ,0.0065, , ,0.198, ,0.0046, ,
 ,0.0065, , ,0.1975, ,0.0047, ,
 ,0.0065, , ,0.2224, ,0.0047, ,
 ,0.0066, , ,0.2006, ,0.0047, ,
 ,0.0065, , ,0.1989, ,0.0047, ,
 ,0.0065, , ,0.2007, ,0.0046, ,
