Arbrook,Material Switch Time,BGFX,Material Switch Time,Native,Material Switch Time,
 ,0.0018, ,1e-04, ,0.1031,
 ,0.0017, ,1e-04, ,0.1104,
 ,0.0017, ,1e-04, ,0.1134,
 ,0.0021, ,1e-04, ,0.1139,
 ,0.0017, ,0, ,0.1502,
 ,0.0017, ,0, ,0.1684,
 ,0.0017, ,1e-04, ,0.1595,
 ,0.002, ,1e-04, ,0.1094,
 ,0.0018, ,1e-04, ,0.1112,
 ,0.0017, ,1e-04, ,0.1317,
 ,0.0018, ,1e-04, ,0.1144,
 ,0.002, ,1e-04, ,0.1438,
 ,0.0018, ,1e-04, ,0.1088,
 ,0.0016, ,1e-04, ,0.1077,
 ,0.0017, ,0, ,0.1219,
 ,0.0021, ,1e-04, ,0.1568,
 ,0.0016, ,0, ,0.1069,
 ,0.0018, ,1e-04, ,0.1063,
 ,0.0016, ,0, ,0.1009,
 ,0.0021, ,1e-04, ,0.1019,
 ,0.0018, ,1e-04, ,0.1049,
 ,0.0019, ,1e-04, ,0.1059,
 ,0.0017, ,1e-04, ,0.1089,
 ,0.0021, ,1e-04, ,0.1029,
 ,0.0018, ,1e-04, ,0.0996,
 ,0.0016, ,1e-04, ,0.1106,
 ,0.0019, ,1e-04, ,0.1007,
 ,0.0021, ,0, ,0.1011,
 ,0.0016, ,1e-04, ,0.1115,
 ,0.0019, ,1e-04, ,0.111,
 ,0.0018, ,0, ,0.099,
 ,0.0019, ,1e-04, ,0.1074,
 ,0.0016, ,1e-04, ,0.105,
 ,0.0018, ,1e-04, ,0.1079,
 ,0.0017, ,1e-04, ,0.1,
 ,0.0021, ,0, ,0.1016,
 ,0.0017, ,1e-04, ,0.1009,
 ,0.0017, ,1e-04, ,0.1118,
 ,0.0017, ,0, ,0.1023,
 ,0.0021, ,1e-04, ,0.1008,
 ,0.0017, ,1e-04, ,0.107,
 ,0.0018, ,1e-04, ,0.0996,
 ,0.0019, ,1e-04, ,0.1025,
 ,0.0021, ,1e-04, ,0.1009,
 ,0.0017, ,0, ,0.1103,
 ,0.0017, ,0, ,0.1104,
 ,0.0017, ,1e-04, ,0.1109,
 ,0.0021, ,0, ,0.108,
 ,0.0017, ,1e-04, ,0.0997,
 ,0.0018, ,0, ,0.0988,
 ,0.0017, ,1e-04, ,0.0985,
 ,0.0019, ,0, ,0.1525,
