Arbrook,Drawing Time,BGFX,Drawing Time,Native,Drawing Time,
 ,0.0041, ,0.1713, ,0.0037,
 ,0.0037, ,0.1688, ,0.0037,
 ,0.0038, ,0.1672, ,0.0035,
 ,0.0039, ,0.1746, ,0.0036,
 ,0.004, ,0.1681, ,0.0041,
 ,0.0037, ,0.17, ,0.0037,
 ,0.0037, ,0.1686, ,0.0036,
 ,0.0039, ,0.1675, ,0.0036,
 ,0.004, ,0.168, ,0.0041,
 ,0.0037, ,0.1722, ,0.0036,
 ,0.0036, ,0.1675, ,0.0044,
 ,0.0039, ,0.1669, ,0.0039,
 ,0.0039, ,0.1671, ,0.0044,
 ,0.0036, ,0.1672, ,0.0038,
 ,0.0037, ,0.1682, ,0.0041,
 ,0.0039, ,0.1663, ,0.0039,
 ,0.0039, ,0.1739, ,0.0042,
 ,0.004, ,0.17, ,0.0037,
 ,0.0041, ,0.2172, ,0.0035,
 ,0.004, ,0.174, ,0.0036,
 ,0.0036, ,0.1673, ,0.004,
 ,0.0036, ,0.1678, ,0.0038,
 ,0.0037, ,0.1678, ,0.0036,
 ,0.0041, ,0.1665, ,0.004,
 ,0.0039, ,0.1664, ,0.0039,
 ,0.0037, ,0.1697, ,0.0036,
 ,0.0037, ,0.1679, ,0.0035,
 ,0.0038, ,0.1697, ,0.0038,
 ,0.0039, ,0.1665, ,0.0041,
 ,0.0036, ,0.1677, ,0.0037,
 ,0.0041, ,0.1671, ,0.0035,
 ,0.0041, ,0.2779, ,0.0036,
 ,0.0039, ,0.2204, ,0.004,
 ,0.0036, ,0.2074, ,0.0035,
 ,0.0037, ,0.1776, ,0.0035,
 ,0.0042, ,0.1455, ,0.0038,
 ,0.0039, ,0.1555, ,0.0039,
 ,0.0038, ,0.1781, ,0.0037,
 ,0.0038, ,0.168, ,0.0035,
 ,0.0043, ,0.1888, ,0.0036,
 ,0.004, ,0.1698, ,0.004,
 ,0.0041, ,0.171, ,0.0036,
 ,0.0039, ,0.1675, ,0.0035,
 ,0.0042, ,0.1686, ,0.0036,
 ,0.0036, ,0.168, ,0.0039,
 ,0.0039, ,0.1751, ,0.0037,
 ,0.0038, ,0.1683, ,0.0035,
 ,0.004, ,0.1669, ,0.0037,
 ,0.0038, ,0.1702, ,0.004,
 ,0.0036, ,0.1711, ,0.0036,
 ,0.0037, ,0.174, ,0.0036,
 ,0.0039, ,0.1663, ,0.0036,
 ,0.0039, ,0.19, ,0.0037,
 ,0.0036, ,0.1665, ,0.0036,
 ,0.0037, ,0.1672, ,0.0037,
 ,0.0043, ,0.1657, ,0.0036,
 ,0.004, ,0.1669, ,0.0038,
 ,0.0039, ,0.1704, ,0.0037,
 ,0.0037, ,0.1679, ,0.0035,
 ,0.0042, ,0.1662, ,0.0036,
 ,0.0039, ,0.1689, ,0.0041,
 ,0.0035, ,0.1711, ,0.0037,
 ,0.0037, ,0.1665, ,0.0035,
 ,0.0038, ,0.1662, ,0.0035,
 ,0.0039, ,0.1671, ,0.004,
 ,0.0039, ,0.1691, ,0.0037,
 ,0.0037, ,0.1686, ,0.0035,
 ,0.0039, ,0.1666, ,0.0036,
 ,0.0036, ,0.1669, ,0.004,
 ,0.0039, ,0.1728, ,0.0037,
 ,0.0037, ,0.1695, ,0.0035,
 ,0.0038, ,0.1664, ,0.0037,
 ,0.0039, ,0.1659, ,0.0057,
 ,0.0036, ,0.1691, ,0.0035,
 ,0.0037, ,0.1687, ,0.0041,
 ,0.0039, ,0.1683, ,0.0042,
 ,0.0036, ,0.1669, ,0.0046,
 ,0.0039, ,0.1663, ,0.0039,
 ,0.0037, ,0.1671, ,0.004,
 ,0.0042, ,0.1685, ,0.0045,
 ,0.0039, ,0.1669, ,0.0041,
 ,0.0037, ,0.169, ,0.004,
 ,0.0037, ,0.1675, ,0.0039,
