Arbrook,FrameTime,SetupTime,Model Switch Time,BGFX,FrameTime,SetupTime,Model Switch Time,Native,FrameTime,SetupTime,Model Switch Time,
 ,0.0923, ,0.0885, ,0.1681, ,4e-04, ,0.081, ,0.0782,
 ,0.0082, ,0.0049, ,0.1412, ,4e-04, ,0.0065, ,0.004,
 ,0.0126, ,0.0083, ,0.6762, ,4e-04, ,0.0114, ,0.0079,
 ,1.1648, ,1.1605, ,0.6157, ,4e-04, ,1.1592, ,1.156,
 ,0.1473, ,0.1434, ,0.1474, ,4e-04, ,0.1463, ,0.1433,
 ,0.0338, ,0.0302, ,0.41, ,3e-04, ,0.0314, ,0.0288,
 ,0.0098, ,0.0063, ,0.6246, ,3e-04, ,0.0085, ,0.006,
 ,0.0084, ,0.005, ,0.1696, ,4e-04, ,0.0067, ,0.0043,
 ,0.3172, ,0.3134, ,0.2907, ,4e-04, ,0.302, ,0.2992,
 ,0.4951, ,0.4909, ,0.2472, ,4e-04, ,0.5453, ,0.5418,
 ,0.0657, ,0.0619, ,0.2219, ,7e-04, ,0.0625, ,0.0595,
 ,0.7571, ,0.7533, ,1.1173, ,6e-04, ,0.6361, ,0.6332,
 ,0.0822, ,0.0784, ,0.1447, ,5e-04, ,0.081, ,0.0781,
 ,0.0082, ,0.0048, ,0.1415, ,4e-04, ,0.0066, ,0.004,
 ,0.0111, ,0.0078, ,0.6307, ,4e-04, ,0.0106, ,0.0081,
 ,1.1117, ,1.1077, ,0.6252, ,4e-04, ,1.1418, ,1.1387,
 ,0.1448, ,0.1408, ,0.1427, ,4e-04, ,0.1437, ,0.1406,
 ,0.0328, ,0.0292, ,0.3977, ,4e-04, ,0.03, ,0.0274,
 ,0.0098, ,0.0064, ,0.6064, ,4e-04, ,0.0085, ,0.0061,
 ,0.0082, ,0.005, ,0.1632, ,4e-04, ,0.0068, ,0.0043,
 ,0.3081, ,0.3042, ,0.2913, ,4e-04, ,0.3232, ,0.32,
 ,0.5536, ,0.5494, ,0.2522, ,4e-04, ,0.4813, ,0.4779,
 ,0.0637, ,0.0599, ,0.1422, ,3e-04, ,0.0631, ,0.0601,
 ,0.6346, ,0.6307, ,0.8857, ,4e-04, ,0.6654, ,0.6624,
 ,0.0812, ,0.0774, ,0.1678, ,4e-04, ,0.0811, ,0.0782,
 ,0.0085, ,0.0048, ,0.14, ,4e-04, ,0.0066, ,0.0041,
 ,0.0115, ,0.0081, ,0.7177, ,4e-04, ,0.0106, ,0.008,
 ,1.2998, ,1.2953, ,0.6167, ,4e-04, ,1.1603, ,1.1571,
 ,0.1493, ,0.1453, ,0.1662, ,3e-04, ,0.1462, ,0.143,
 ,0.0327, ,0.0292, ,0.3956, ,5e-04, ,0.0305, ,0.0278,
 ,0.01, ,0.0065, ,0.6185, ,4e-04, ,0.0083, ,0.0058,
 ,0.0083, ,0.0049, ,0.1795, ,4e-04, ,0.0067, ,0.0043,
 ,0.3199, ,0.316, ,0.2994, ,4e-04, ,0.3343, ,0.3314,
 ,0.5222, ,0.5178, ,0.2591, ,4e-04, ,0.4981, ,0.4948,
 ,0.0647, ,0.0608, ,0.1419, ,4e-04, ,0.0627, ,0.0597,
 ,0.6458, ,0.642, ,0.9152, ,4e-04, ,0.6527, ,0.6497,
 ,0.0817, ,0.0778, ,0.1654, ,4e-04, ,0.0806, ,0.0777,
 ,0.0083, ,0.005, ,0.1397, ,3e-04, ,0.0062, ,0.0038,
 ,0.0117, ,0.0083, ,0.708, ,4e-04, ,0.0104, ,0.0078,
 ,1.1261, ,1.1217, ,0.6324, ,4e-04, ,1.2194, ,1.216,
 ,0.146, ,0.142, ,0.1603, ,4e-04, ,0.1465, ,0.1433,
 ,0.0329, ,0.0293, ,0.4115, ,3e-04, ,0.0305, ,0.0278,
 ,0.0098, ,0.0063, ,0.6237, ,5e-04, ,0.0089, ,0.0064,
 ,0.0083, ,0.005, ,0.1939, ,4e-04, ,0.0065, ,0.0042,
 ,0.3211, ,0.3173, ,0.2732, ,4e-04, ,0.3152, ,0.3123,
 ,0.4939, ,0.4898, ,0.2924, ,4e-04, ,0.5031, ,0.4999,
 ,0.0661, ,0.0622, ,0.142, ,4e-04, ,0.063, ,0.06,
 ,0.6385, ,0.6347, ,0.9051, ,4e-04, ,0.6405, ,0.6376,
 ,0.0825, ,0.0787, ,0.1697, ,4e-04, ,0.0821, ,0.0791,
 ,0.0081, ,0.0048, ,0.145, ,4e-04, ,0.0065, ,0.0042,
 ,0.0113, ,0.0079, ,1.048, ,4e-04, ,0.01, ,0.0076,
 ,1.1452, ,1.1408, ,0.6713, ,4e-04, ,1.1933, ,1.1902,
 ,0.1481, ,0.1441, ,0.1859, ,4e-04, ,0.1832, ,0.1792,
 ,0.0309, ,0.0274, ,0.4485, ,4e-04, ,0.0319, ,0.0292,
 ,0.01, ,0.0065, ,0.6245, ,4e-04, ,0.0085, ,0.0061,
 ,0.0082, ,0.0049, ,0.1825, ,4e-04, ,0.0068, ,0.0044,
 ,0.3004, ,0.2966, ,0.2742, ,4e-04, ,0.3249, ,0.322,
 ,0.4771, ,0.4728, ,0.2532, ,4e-04, ,0.4869, ,0.4836,
 ,0.0642, ,0.0603, ,0.1416, ,4e-04, ,0.0648, ,0.062,
 ,0.6406, ,0.6366, ,0.9362, ,4e-04, ,0.6485, ,0.6455,
 ,0.0829, ,0.0791, ,0.1623, ,5e-04, ,0.081, ,0.078,
 ,0.0082, ,0.0048, ,0.3881, ,4e-04, ,0.0066, ,0.0041,
 ,0.0115, ,0.0081, ,0.4931, ,5e-04, ,0.0101, ,0.0076,
 ,1.1597, ,1.1553, ,0.6713, ,4e-04, ,1.1203, ,1.1172,
 ,0.1715, ,0.1675, ,0.1978, ,4e-04, ,0.1444, ,0.1413,
