Arbrook,Drawing Time,BGFX,Drawing Time,Native,Drawing Time,
 ,0.0022, ,0.1736, ,0.0014,
 ,0.0022, ,0.1703, ,0.0016,
 ,0.0021, ,0.1738, ,0.0014,
 ,0.0022, ,0.1654, ,0.0014,
 ,0.0022, ,0.167, ,0.0014,
 ,0.0023, ,0.1636, ,0.0014,
 ,0.0022, ,0.1634, ,0.0014,
 ,0.0022, ,0.1627, ,0.0014,
 ,0.0021, ,0.1627, ,0.0014,
 ,0.0023, ,0.1668, ,0.0014,
 ,0.0022, ,0.1655, ,0.0014,
 ,0.0022, ,0.1644, ,0.0015,
 ,0.0022, ,0.163, ,0.0014,
 ,0.0022, ,0.1646, ,0.0014,
 ,0.0022, ,0.1628, ,0.0014,
 ,0.0022, ,0.165, ,0.0015,
 ,0.0022, ,0.1614, ,0.0013,
 ,0.0024, ,0.1642, ,0.0014,
 ,0.0022, ,0.1641, ,0.0014,
 ,0.0021, ,0.2566, ,0.0013,
 ,0.0022, ,0.4746, ,0.0013,
 ,0.0023, ,0.1644, ,0.0014,
 ,0.0021, ,0.1355, ,0.0015,
 ,0.0021, ,0.2004, ,0.0013,
 ,0.0021, ,0.3105, ,0.0013,
 ,0.0022, ,0.1494, ,0.0013,
 ,0.0022, ,0.1632, ,0.0012,
 ,0.0022, ,0.1382, ,0.0013,
 ,0.0022, ,0.1778, ,0.0013,
 ,0.0022, ,0.1663, ,0.0014,
 ,0.0022, ,0.1646, ,0.0014,
 ,0.0021, ,0.1659, ,0.0014,
 ,0.0022, ,0.1932, ,0.0013,
 ,0.0022, ,0.1683, ,0.0013,
 ,0.0023, ,0.1636, ,0.0014,
 ,0.0022, ,0.165, ,0.0013,
 ,0.0022, ,0.1635, ,0.0013,
 ,0.0022, ,0.1634, ,0.0013,
 ,0.0021, ,0.1623, ,0.0013,
 ,0.0021, ,0.1639, ,0.0014,
 ,0.0022, ,0.166, ,0.0013,
 ,0.0022, ,0.1661, ,0.0013,
 ,0.0022, ,0.1634, ,0.0013,
 ,0.0022, ,0.163, ,0.0013,
 ,0.0022, ,0.1661, ,0.0014,
 ,0.0022, ,0.1637, ,0.0014,
 ,0.0022, ,0.1704, ,0.0013,
 ,0.0023, ,0.1641, ,0.0014,
 ,0.0022, ,0.2144, ,0.0014,
 ,0.0022, ,0.1662, ,0.0013,
 ,0.0022, ,0.1635, ,0.0013,
 ,0.0023, ,0.1629, ,0.0015,
 ,0.0021, ,0.1639, ,0.0014,
 ,0.0022, ,0.1692, ,0.0014,
 ,0.0022, ,0.1653, ,0.0013,
 ,0.0021, ,0.1634, ,0.0013,
 ,0.0023, ,0.1639, ,0.0013,
 ,0.0022, ,0.1655, ,0.0018,
 ,0.0022, ,0.1654, ,0.0019,
 ,0.0022, ,0.1637, ,0.0017,
 ,0.0022, ,0.1628, ,0.0014,
 ,0.0021, ,0.1628, ,0.0014,
 ,0.0021, ,0.1639, ,0.0013,
 ,0.0022, ,0.1634, ,0.0014,
 ,0.0021, ,0.1632, ,0.0013,
 ,0.0023, ,0.1653, ,0.0019,
 ,0.0024, ,0.163, ,0.0016,
 ,0.0022, ,0.1653, ,0.0014,
 ,0.0023, ,0.163, ,0.0013,
 ,0.0022, ,0.1629, ,0.0014,
 ,0.0022, ,0.1631, ,0.0014,
 ,0.0022, ,0.1625, ,0.0014,
 ,0.0022, ,0.1656, ,0.0013,
 ,0.0022, ,0.1669, ,0.0013,
 ,0.0022, ,0.1657, ,0.0013,
 ,0.0022, ,0.1708, ,0.0014,
 ,0.0023, ,0.1924, ,0.0014,
 ,0.0022, ,0.1637, ,0.0013,
 ,0.0023, ,0.163, ,0.0014,
