Arbrook,Model Switch Time,BGFX,Model Switch Time,Native,Model Switch Time,
 ,0.3276, ,3e-04, ,0.3852,
 ,0.0218, ,0.0015, ,0.0216,
 ,0.1179, ,3e-04, ,0.0327,
 ,0.0179, ,4e-04, ,0.0197,
 ,0.0189, ,3e-04, ,0.019,
 ,0.1007, ,2e-04, ,0.0989,
 ,0.1872, ,3e-04, ,0.207,
 ,0.0209, ,3e-04, ,0.0176,
 ,0.3421, ,2e-04, ,0.2145,
 ,0.0181, ,5e-04, ,0.0176,
 ,0.0235, ,4e-04, ,0.0208,
 ,0.0199, ,4e-04, ,0.0213,
 ,0.3222, ,3e-04, ,0.3175,
 ,0.0192, ,5e-04, ,0.0245,
 ,0.034, ,3e-04, ,0.0306,
 ,0.0181, ,4e-04, ,0.0238,
 ,0.0183, ,4e-04, ,0.0181,
 ,0.1886, ,2e-04, ,0.2001,
 ,0.1452, ,3e-04, ,0.1307,
 ,0.0193, ,3e-04, ,0.0185,
 ,0.2671, ,3e-04, ,0.266,
 ,0.0197, ,6e-04, ,0.0176,
 ,0.0211, ,3e-04, ,0.0186,
 ,0.0207, ,2e-04, ,0.0216,
 ,1.0072, ,3e-04, ,0.3557,
 ,0.0265, ,3e-04, ,0.0223,
 ,0.0325, ,2e-04, ,0.0297,
 ,0.0194, ,4e-04, ,0.0288,
 ,0.0193, ,3e-04, ,0.0212,
 ,0.1023, ,5e-04, ,0.0977,
 ,0.2428, ,5e-04, ,0.2652,
 ,0.0167, ,4e-04, ,0.0227,
 ,0.2511, ,2e-04, ,0.2682,
 ,0.0181, ,3e-04, ,0.0183,
 ,0.0191, ,3e-04, ,0.02,
 ,0.0207, ,2e-04, ,0.0216,
 ,0.313, ,3e-04, ,0.4166,
 ,0.0194, ,3e-04, ,0.0206,
 ,0.0328, ,3e-04, ,0.0318,
 ,0.0183, ,3e-04, ,0.0205,
 ,0.0181, ,3e-04, ,0.0187,
 ,0.2096, ,2e-04, ,0.1006,
 ,0.1769, ,5e-04, ,0.1647,
 ,0.0174, ,3e-04, ,0.0184,
 ,0.2656, ,5e-04, ,0.2261,
 ,0.0185, ,3e-04, ,0.0188,
 ,0.0196, ,3e-04, ,0.0208,
 ,0.023, ,2e-04, ,0.023,
 ,0.4935, ,3e-04, ,0.327,
 ,0.1409, ,0.0012, ,0.0197,
 ,0.038, ,2e-04, ,0.0329,
 ,0.0189, ,4e-04, ,0.0183,
 ,0.0183, ,2e-04, ,0.0175,
 ,0.1683, ,2e-04, ,0.2155,
 ,0.1512, ,3e-04, ,0.1367,
 ,0.0173, ,5e-04, ,0.0185,
 ,0.2429, ,2e-04, ,0.5945,
 ,0.0181, ,3e-04, ,0.028,
 ,0.0196, ,3e-04, ,0.0225,
 ,0.0193, ,3e-04, ,0.0224,
 ,0.3634, ,4e-04, ,0.4077,
 ,0.0692, ,4e-04, ,0.0204,
 ,0.0342, ,2e-04, ,0.0315,
 ,0.0181, ,2e-04, ,0.0188,
 ,0.0183, ,2e-04, ,0.0206,
 ,0.0983, ,3e-04, ,0.0995,
 ,0.2258, ,3e-04, ,0.2354,
 ,0.0172, ,3e-04, ,0.0218,
 ,0.276, ,2e-04, ,0.2684,
 ,0.0231, ,0.0015, ,0.0184,
 ,0.0219, ,2e-04, ,0.0227,
 ,0.0207, ,2e-04, ,0.0201,
 ,0.4038, ,4e-04, ,0.3302,
 ,0.0218, ,4e-04, ,0.0197,
 ,0.0375, ,2e-04, ,0.1211,
 ,0.0185, ,3e-04, ,0.0184,
 ,0.0186, ,5e-04, ,0.0185,
 ,0.2168, ,3e-04, ,0.1044,
 ,0.1969, ,4e-04, ,0.1597,
 ,0.0169, ,3e-04, ,0.0235,
 ,0.9363, ,3e-04, ,0.215,
 ,0.0199, ,0.0011, ,0.0198,
 ,0.0202, ,3e-04, ,0.0223,
 ,0.0212, ,2e-04, ,0.0206,
 ,0.4249, ,5e-04, ,0.3125,
 ,0.0283, ,3e-04, ,0.0552,
 ,0.0386, ,3e-04, ,0.3132,
 ,0.0196, ,3e-04, ,0.0198,
 ,0.0183, ,2e-04, ,0.0197,
 ,0.1246, ,2e-04, ,0.1219,
 ,0.3023, ,2e-04, ,0.1421,
 ,0.0195, ,3e-04, ,0.0173,
 ,0.3029, ,3e-04, ,0.261,
 ,0.0191, ,0.0011, ,0.0178,
 ,0.0215, ,3e-04, ,0.0283,
 ,0.0218, ,2e-04, ,0.0244,
 ,0.4019, ,4e-04, ,0.3964,
 ,0.0298, ,2e-04, ,0.0237,
 ,0.0352, ,3e-04, ,0.0359,
 ,0.0186, ,2e-04, ,0.0216,
 ,0.019, ,3e-04, ,0.0189,
 ,0.1305, ,2e-04, ,0.0983,
 ,0.1972, ,3e-04, ,0.2178,
 ,0.0168, ,3e-04, ,0.022,
 ,0.2702, ,2e-04, ,0.2792,
 ,0.0183, ,7e-04, ,0.0216,
 ,0.0194, ,3e-04, ,0.0182,
 ,0.0202, ,2e-04, ,0.0214,
 ,0.3767, ,6e-04, ,0.3195,
 ,0.0205, ,3e-04, ,0.0209,
 ,0.0367, ,3e-04, ,0.0339,
 ,0.0186, ,3e-04, ,0.0187,
 ,0.0251, ,3e-04, ,0.0177,
 ,0.2465, ,3e-04, ,0.2043,
 ,0.1658, ,3e-04, ,0.1627,
 ,0.0176, ,3e-04, ,0.0243,
 ,0.3796, ,3e-04, ,0.216,
 ,0.0181, ,3e-04, ,0.0215,
 ,0.0216, ,3e-04, ,0.0184,
 ,0.0217, ,3e-04, ,0.0211,
 ,0.5189, ,3e-04, ,0.3078,
 ,0.028, ,3e-04, ,0.024,
 ,0.0396, ,2e-04, ,0.0315,
 ,0.0274, ,3e-04, ,0.0218,
 ,0.0218, ,4e-04, ,0.0187,
 ,0.1234, ,3e-04, ,0.1615,
 ,0.3241, ,3e-04, ,0.1338,
 ,0.0205, ,3e-04, ,0.0187,
 ,0.3237, ,2e-04, ,0.2991,
 ,0.0296, ,4e-04, ,0.0268,
 ,0.0228, ,3e-04, ,0.021,
 ,0.1008, ,3e-04, ,0.0295,
 ,0.5596, ,3e-04, ,0.3818,
 ,0.0263, ,3e-04, ,0.0285,
 ,0.1354, ,3e-04, ,0.0328,
 ,0.0185, ,3e-04, ,0.0208,
 ,0.0193, ,3e-04, ,0.0684,
 ,0.1422, ,3e-04, ,0.12,
 ,0.2974, ,3e-04, ,0.2133,
 ,0.0204, ,3e-04, ,0.0237,
 ,0.3113, ,3e-04, ,0.2588,
 ,0.0199, ,4e-04, ,0.0171,
 ,0.0229, ,3e-04, ,0.0209,
 ,0.0216, ,3e-04, ,0.0224,
 ,0.4361, ,2e-04, ,0.3493,
 ,0.0278, ,0.0015, ,0.0558,
 ,0.0427, ,3e-04, ,0.3304,
 ,0.0188, ,4e-04, ,0.019,
 ,0.0208, ,3e-04, ,0.0178,
 ,0.15, ,3e-04, ,0.1935,
 ,0.1943, ,3e-04, ,0.1447,
 ,0.0182, ,4e-04, ,0.0191,
 ,0.3163, ,3e-04, ,0.3169,
 ,0.0181, ,0.0015, ,0.0183,
 ,0.0267, ,6e-04, ,0.0209,
 ,0.0219, ,2e-04, ,0.0237,
 ,0.4206, ,4e-04, ,0.4093,
 ,0.026, ,9e-04, ,0.0239,
 ,0.0388, ,3e-04, ,0.0324,
 ,0.0188, ,4e-04, ,0.0196,
 ,0.0187, ,3e-04, ,0.0182,
 ,0.1061, ,2e-04, ,0.0969,
 ,0.2343, ,3e-04, ,0.2448,
 ,0.0177, ,3e-04, ,0.0181,
 ,0.2806, ,2e-04, ,0.2445,
 ,0.0177, ,7e-04, ,0.0176,
 ,0.0212, ,3e-04, ,0.0203,
 ,0.0201, ,2e-04, ,0.0208,
 ,0.5195, ,3e-04, ,0.3611,
 ,0.0217, ,4e-04, ,0.0249,
 ,0.0348, ,3e-04, ,0.0298,
 ,0.0238, ,4e-04, ,0.018,
 ,0.0186, ,4e-04, ,0.0174,
 ,0.2106, ,3e-04, ,0.0975,
 ,0.1993, ,3e-04, ,0.1955,
 ,0.0222, ,3e-04, ,0.0198,
 ,0.9653, ,3e-04, ,0.1986,
 ,0.0264, ,0.0013, ,0.0172,
 ,0.0214, ,3e-04, ,0.0198,
 ,0.0227, ,3e-04, ,0.0201,
 ,0.3459, ,3e-04, ,0.2999,
