Arbrook,FrameTime,SetupTime,DrawCallTime,BGFX,FrameTime,SetupTime,Native,FrameTime,SetupTime,
 ,0.0153, ,0.0015, ,2e-04, , ,3e-04, ,
 ,0.0151, ,4e-04, ,2e-04, , ,3e-04, ,
 ,0.015, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.0149, ,2e-04, ,3e-04, , ,4e-04, ,
 ,0.015, ,0.0014, ,1e-04, , ,4e-04, ,
 ,0.0151, ,4e-04, ,1e-04, , ,4e-04, ,
 ,0.0151, ,2e-04, ,1e-04, , ,3e-04, ,
 ,0.0151, ,2e-04, ,1e-04, , ,4e-04, ,
 ,0.0149, ,0.0022, ,1e-04, , ,4e-04, ,
 ,0.0149, ,5e-04, ,2e-04, , ,4e-04, ,
 ,0.015, ,5e-04, ,2e-04, , ,4e-04, ,
 ,0.0151, ,5e-04, ,1e-04, , ,4e-04, ,
 ,0.0151, ,0.0019, ,1e-04, , ,3e-04, ,
 ,0.015, ,6e-04, ,2e-04, , ,4e-04, ,
 ,0.0151, ,5e-04, ,1e-04, , ,4e-04, ,
 ,0.0151, ,4e-04, ,1e-04, , ,3e-04, ,
 ,0.0153, ,0.0017, ,2e-04, , ,6e-04, ,
 ,0.0151, ,4e-04, ,2e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,2e-04, , ,6e-04, ,
 ,0.0151, ,0.0014, ,2e-04, , ,4e-04, ,
 ,0.0151, ,4e-04, ,1e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0149, ,3e-04, ,1e-04, , ,5e-04, ,
 ,0.0194, ,0.0014, ,2e-04, , ,4e-04, ,
 ,0.0152, ,4e-04, ,1e-04, , ,4e-04, ,
 ,0.0151, ,2e-04, ,2e-04, , ,4e-04, ,
 ,0.0152, ,3e-04, ,1e-04, , ,4e-04, ,
 ,0.0154, ,0.0016, ,2e-04, , ,4e-04, ,
 ,0.0165, ,3e-04, ,1e-04, , ,4e-04, ,
 ,0.016, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0256, ,2e-04, ,1e-04, , ,4e-04, ,
 ,0.0224, ,0.0014, ,1e-04, , ,4e-04, ,
 ,0.016, ,4e-04, ,2e-04, , ,4e-04, ,
 ,0.0159, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0268, ,3e-04, ,1e-04, , ,4e-04, ,
 ,0.0252, ,0.0014, ,2e-04, , ,4e-04, ,
 ,0.0187, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0157, ,3e-04, ,1e-04, , ,4e-04, ,
 ,0.0155, ,3e-04, ,1e-04, , ,4e-04, ,
 ,0.0152, ,0.0014, ,2e-04, , ,4e-04, ,
 ,0.0152, ,3e-04, ,2e-04, , ,4e-04, ,
